ID number,Biggest_Challenge,Inflation_Challenge,Unemployment_Challenge,NHS_Challenge,Education_Challenge,Security_Challenge,Tax_Challenge,Crime_Challenge,ClimateChange_Challenge,Energy_Challenge,Energy_thought,Renewable_thought,Lights_on,Boil_kettle,Wash_clothes,Room_temp,Heat_on,Glazing,Biomass_boiler,Air_source_heat_pump,Ground_source_heat_pump,Solar_thermal,Rep_old_boiler,Smart_meter,Electric_car,Renew_Econ_benefit,Renew_energy_dev,Renew_energy_dev_comm,Support_wind_onshore,Support_biomass,Support_wind_offshore,Support_waveTidal,Support_solar,Nuclear_ClimateChange,Nuclear_afford_energy,Nuclear_Economic,Nuclear_benefit_risk,CCS,Energy_Bill_cost,Food_Cost,Transport_costs,Mortgage_Rent_costs,ClimChange_concerns,ClimChange_cause,Future_energy_price,Future_power_cuts,Future_fossilfuel_supply,Future_energy_dependence,Future_altEnergy_invest,Future_altEnergy_dev,Energy_source_mix,Property_type ,Heating_method_prim,Number_Adults,Number_people,Children,Gender,Tenure ,Working_status,Age,Area,Income
1,Unemployment,Yes,Yes,No,No,No,Yes,No,No,No,A fair amount,Support,Occasionally,Very often,Quite often ,Quite often ,Occasionally,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Thinking about doing this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Slightly agree,Support,Support,Strongly support,Support,Strongly support,Neither agree nor disagree,Slightly agree,Slightly agree,The benefits and risks are about the same,Aware of it but don't really know what it is ,Don't know,Not very worried,Not very worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Slightly agree,Semi Detached Property,Gas,5,5,No child,Male,Being bought on mortgage,Full time education,16-24,Urban,35000
2,National security\defence,Yes,No,No,No,Yes,No,No,Yes,No,A lot,Strongly support,Never,Never,Very often,Very often,Not Applicable,Yes,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Thinking about doing this,Not Applicable,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Support,Strongly agree,Strongly agree,Strongly agree,The benefits far outweigh the risks,Know a little about it,Don't know,Don't know,Don't know,Don't know,Very concerned,Climate change is mainly caused by natural processes,Very concerned,Not very concerned,Very concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Detached Property,Oil,1,1,No child,Male,Owned outright by household,Retired,65,Urban,NA
3,Unemployment,No,Yes,Yes,No,No,Yes,No,No,No,A lot,Strongly support,Occasionally,Never,Never,Always ,Never,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",Don't know,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Know a little about it,Don't know,Not applicable,Don't know,Don't know,Very concerned,Climate change is entirely caused by natural processes,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Terrace Property,Gas,4,4,No child,Female,Being bought on mortgage,Full time,25-34,Urban,50000
4,Education,Yes,Yes,No,Yes,No,No,No,No,No,A fair amount,Support,Occasionally,Quite often ,Never,Always ,Occasionally,Yes,Don't want to\probably won't do this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Thinking about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Strongly agree,Support,Support,Support,Neither support nor oppose,Strongly support,Strongly agree,Strongly agree,Neither agree nor disagree,The benefits slightly outweigh the risks ,Know a little about it,Don't know,Not at all worried,Fairly worried,Not at all worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Don't know,Not very concerned,Fairly concerned,Don't know,Slightly agree,Detached Property,Gas,1,1,No child,Female,Owned outright by household,Retired,65,Urban,NA
5,Unemployment,Yes,Yes,No,No,No,No,Yes,No,No,Not very much,Strongly oppose ,Occasionally,Always ,Occasionally,Occasionally,Never,No,Haven't heard of this,Haven't heard of this ,Don't know,Don't know,Don't know,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Slightly agree,Strongly agree,Support,Neither support nor oppose,Support,Oppose ,Support,Strongly disagree,Strongly disagree,Strongly disagree,The benefits and risks are about the same,Never heard of it ,Don't know,Not very worried,Not at all worried,Not at all worried,Very concerned,Climate change is mainly caused by human activity,Very concerned,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,3,5,Child,Female,Being bought on mortgage,Full time education,16-24,Urban,NA
6,National Health Service,No,No,Yes,Yes,No,Yes,No,No,No,A fair amount,Support,Occasionally,Occasionally,Never,Always ,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Neither agree nor disagree,Strongly agree,Support,Don't know,Support,Strongly support,Strongly support,Slightly agree,Neither agree nor disagree,Don't know,The benefits and risks are about the same,Never heard of it ,Don't know,Not at all worried,Fairly worried,Not applicable,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Very concerned,Slightly agree,Detached Property,Gas,3,3,No child,Male,Being bought on mortgage,Part time,16-24,Urban,NA
7,Don't know,No,No,No,No,No,No,No,No,No,Don't know,Neither support nor oppose,Never,Never,Never,Never,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't heard of this ,Haven't heard of this,No - I have never heard of them,I have never heard of electric cars or vans,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Don't know,Never heard of it ,Don't know,Don't know,Not very worried,Don't know,Not at all concerned,I don't think there is such a thing as climate change,Not very concerned,Not very concerned,Not at all concerned,Fairly concerned,Not very concerned,Not very concerned,Neither agree nor disagree,Flat or Maisonette,,3,3,No child,Female,Other,Full time,45-54,Urban,15999
8,Don't know,No,No,No,No,No,No,No,No,No,None at all,Neither support nor oppose,Never,Very often,Quite often ,Quite often ,Never,No,Haven't heard of this,Haven't heard of this ,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Haven't heard of this,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Slightly agree,Neither agree nor disagree,Don't know,Don't know,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Don't know,Don't know,Don't know,Never heard of it ,Don't know,Not very worried,Fairly worried,Very worried,Not very concerned,No Opinion,Fairly concerned,Fairly concerned,Don't know,Fairly concerned,Don't know,Fairly concerned,Don't know,Semi Detached Property,Gas,1,2,Child,Female,Rented from private landlord,Part time,16-24,Urban,NA
9,Crime\law and order,No,No,No,No,No,No,Yes,No,No,None at all,Don't know,Always ,Always ,Never,Never,Never,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Yes, I have a smart meter",I haven't really thought about buying an electric car or van,Don't know,Don't know,Don't know,Support,Support,Support,Support,Support,Don't know,Don't know,Don't know,The risks far outweigh the benefits ,Never heard of it ,Don't know,Don't know,Don't know,Don't know,Not at all concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Slightly agree,Semi Detached Property,Gas,4,4,No child,Male,Rented from local authority,Not working Looking,16-24,Urban,NA
10,Unemployment,Yes,Yes,No,No,No,Yes,No,No,No,A fair amount,Neither support nor oppose,Never,Always ,Not Applicable,Never,Occasionally,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No - I have never heard of them,I haven't really thought about buying an electric car or van,Don't know,Don't know,Don't know,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Don't know,Don't know,Don't know,Don't know,Never heard of it ,Don't know,Don't know,Don't know,Don't know,Not at all concerned,No Opinion,Fairly concerned,Fairly concerned,Don't know,Don't know,Don't know,Don't know,Don't know,Semi Detached Property,Gas,5,5,No child,Male,Rented from local authority,Full time,16-24,Urban,NA
